pays,année,espérance de vie,niveau d’éducation,pib/hab,idh calculé,chômage
Andorra,2005,83.086,28.1100006103516,40829.801876968,0.628,
Andorra,2010,84.197,29.295000076293952,42746.8309526019,0.642,
Andorra,2015,84.532,32.4199981689453,38654.9347203095,0.662,
Andorra,2020,79.418,32.3249988555908,37361.0900666982,0.642,
Angola,2000,46.501,,563.733795571487,,16.682
Angola,2005,52.13,,1916.46842218625,,16.36
Angola,2010,57.242,,3597.34293216332,,16.618
Angola,2015,61.042,3.3380961418151847,3213.90261080059,0.223,16.49
Angola,2020,63.116,3.629932641983032,1449.92286669308,0.213,16.69
Antigua and Barbuda,2000,74.819,,12021.463208189,,
Antigua and Barbuda,2005,75.364,,14366.2912765172,,
Antigua and Barbuda,2010,76.701,,15216.3098400792,,
Antigua and Barbuda,2015,76.892,,16080.6580495873,,
Antigua and Barbuda,2020,77.161,,15360.4544160475,,
Arab World,2000,66.8906998949344,,2664.16579571488,,12.6274870577085
Arab World,2005,68.0405024136348,,3750.50855449002,,11.2407250571004
Arab World,2010,69.8073221012027,,5928.30479005386,,9.57747395203384
Arab World,2015,70.6580123695192,,6203.70263640435,,11.1489135724281
Arab World,2020,70.7265588103862,,5648.34111789395,,11.3256125416623
Argentina,2000,73.91,,7637.01489203628,,15.0
Argentina,2005,75.231,12.38000011444095,5067.65342293276,0.397,11.506
Argentina,2010,75.68,12.38000011444095,10260.1313108254,0.42,7.714
Argentina,2015,76.6,12.38000011444095,13679.6264980954,0.431,7.579
Argentina,2020,75.878,12.38000011444095,8535.59938004389,0.415,11.461
Armenia,2000,72.8804878048781,,593.450581742282,,11.095
Armenia,2005,73.0756097560976,,1557.48458908655,,10.54
Armenia,2010,73.1731707317073,46.4075622558594,3041.34450723339,0.581,19.523
Armenia,2015,74.8707317073171,47.3199996948242,3512.39350276709,0.599,18.261
Armenia,2020,73.3756097560976,43.3199996948242,4268.68093304583,0.586,18.175
Aruba,2000,72.939,16.3999996185303,20681.0230269625,0.476,
Aruba,2005,73.415,16.3999996185303,24171.8371325422,0.482,
Aruba,2010,74.297,12.8199996948242,24093.1401510626,0.446,
Aruba,2015,75.405,12.8199996948242,27458.2253310273,0.453,
Aruba,2020,75.406,12.8199996948242,22855.9323200761,0.448,
Australia,2000,79.2341463414634,,21870.4159669594,,6.288
Australia,2005,80.8414634146341,31.6900005340576,34479.7679298388,0.64,5.036
Australia,2010,81.6951219512195,37.4900016784668,52144.6654705468,0.695,5.214
Australia,2015,82.4,40.4500007629395,56739.0265346593,0.719,6.055
Australia,2020,83.2,46.4500007629395,51791.540179984,0.753,6.456
Austria,2000,78.1268292682927,,24487.2974685956,,4.687
Austria,2005,79.3317073170732,15.960000038147,38157.37022862,0.508,5.682
Austria,2010,80.5804878048781,17.5200004577637,46611.1393420232,0.533,4.883
Austria,2015,81.190243902439,26.9300003051758,43915.228020857,0.615,5.802
Austria,2020,81.1926829268293,30.1284141540527,48716.4098900349,0.642,5.201
Azerbaijan,2000,65.377,,655.097249579917,,11.78
Azerbaijan,2005,67.71,,1578.36733030667,,7.26
Azerbaijan,2010,70.309,25.2299995422363,5843.5337683582,0.493,5.63
Azerbaijan,2015,72.349,25.4099998474121,5500.50364628486,0.499,4.96
Azerbaijan,2020,70.312,25.4279998779297,4229.91064904503,0.481,7.24
"Bahamas, The",2000,72.481,,24940.0775086078,,7.12
"Bahamas, The",2005,73.413,,28602.4181869995,,10.2
"Bahamas, The",2010,73.449,22.8899993896484,27473.100430502,0.543,14.432
"Bahamas, The",2015,73.805,22.8899993896484,30289.4022514831,0.547,12.0
"Bahamas, The",2020,72.994,22.6917791366577,25155.6725432789,0.537,12.027
Bahrain,2000,74.673,,14214.4836839343,,1.083
Bahrain,2005,76.125,11.210000038147,17966.1657837625,0.423,1.021
Bahrain,2010,78.593,19.2700004577637,21819.3291098099,0.521,1.13
Bahrain,2015,80.338,19.2700004577637,23734.0551143019,0.529,1.16
Bahrain,2020,78.683,19.2700004577637,24342.8444554718,0.525,1.781
Bangladesh,2000,62.049,,396.670730249751,,3.27
Bangladesh,2005,65.509,,480.08585075452,,4.25
Bangladesh,2010,68.009,,757.385280361508,,3.379
Bangladesh,2015,70.543,8.56999969482422,1224.38647668165,0.293,4.396
Bangladesh,2020,71.421,9.323999977111823,2248.85078828233,0.326,5.436
Barbados,2000,74.58,,11674.6736471764,,9.35
Barbados,2005,74.96,,14214.4202213572,,9.08
Barbados,2010,75.488,,18860.3833703309,,10.69
Barbados,2015,76.055,13.9602088928223,18954.2913724506,0.457,9.803
Barbados,2020,76.647,15.26368732452392,18347.1109131055,0.471,9.777
Belarus,2000,68.9121951219512,,1276.28038121269,,12.224
Belarus,2005,68.8512195121951,,3126.07176665248,,8.728
Belarus,2010,70.4048780487805,51.3800010681152,6034.67885177216,0.627,6.045
Belarus,2015,73.6243902439025,51.3800010681152,5967.06856034227,0.64,5.881
Belarus,2020,72.1385609756098,30.7564182281494,6542.8645398436,0.538,4.049
Belgium,2000,77.7219512195122,,23098.8865077401,,6.586
Belgium,2005,78.9804878048781,,36809.7013403619,,8.44
Belgium,2010,80.1829268292683,30.0,44197.393671162,0.635,8.293
Belgium,2015,80.9926829268293,32.060001373291,40893.804537772,0.649,8.482
Belgium,2020,80.6951219512195,37.2799682617188,45906.2875805246,0.686,5.545
Belize,2000,68.911,,4729.67080428075,,10.836
Belize,2005,70.335,,5272.74417207961,,10.91
Belize,2010,70.875,,5451.13897172477,,8.416
Belize,2015,71.647,17.1856422424316,6154.49593498217,0.44,7.578
Belize,2020,71.58,20.9699993133545,5227.19363786168,0.463,10.784
Benin,2000,56.594,,487.424141384242,,0.864
Benin,2005,57.738,2.16000008583069,779.437777753268,0.157,0.86
Benin,2010,58.387,2.16000008583069,973.244254493089,0.164,1.04
Benin,2015,59.123,3.1399770975112897,1002.41886882564,0.187,1.82
Benin,2020,60.154,4.06566387414932,1197.50136428063,0.211,1.502
Bermuda,2000,78.251,27.5599994659424,56542.9569455727,0.618,
Bermuda,2005,78.874,27.5599994659424,77628.103522508,0.631,
Bermuda,2010,79.414,37.3600006103516,104111.824244802,0.71,
Bermuda,2015,80.338,37.3600006103516,104855.366822135,0.714,
Bermuda,2020,81.456,39.0850009918213,106973.175732348,0.73,
Bhutan,2000,61.842,,771.924911410619,,1.66
Bhutan,2005,65.875,,1299.94938578359,,3.1
Bhutan,2010,68.765,,2435.57980661188,,3.32
Bhutan,2015,70.797,4.55000019073486,2954.04081973327,0.263,2.45
Bhutan,2020,72.253,7.37499999999998,3191.66907031782,0.314,5.03
Bolivia,2000,62.057,,975.777060358751,,2.447
Bolivia,2005,64.182,14.0799999237061,1020.12326200737,0.323,2.603
Bolivia,2010,66.003,19.57750034332275,1929.78373077158,0.396,2.608
Bolivia,2015,67.205,26.6200008392334,2996.01289804214,0.463,3.111
Bolivia,2020,62.906,31.4799995422363,3099.94219044572,0.476,7.903
Bosnia and Herzegovina,2000,75.292,,1338.48059636261,,25.187
Bosnia and Herzegovina,2005,76.424,,2739.61076866057,,30.227
Bosnia and Herzegovina,2010,76.827,9.22999954223633,4506.47828548389,0.359,27.312
Bosnia and Herzegovina,2015,77.073,10.5200004577637,4662.25883724069,0.377,27.695
Bosnia and Herzegovina,2020,76.04,13.1199998855591,6130.31133245161,0.413,15.868
Botswana,2000,52.263,,3450.81180622992,,15.88
Botswana,2005,54.386,,5391.07076619634,,19.847
Botswana,2010,59.137,,6215.73216077919,,17.86
Botswana,2015,63.215,,6141.20394726616,,18.93
Botswana,2020,67.643,29.2049808502197,6323.31419156209,0.512,21.017
Brazil,2000,69.584,,3766.54811466032,,10.889
Brazil,2005,71.832,8.10999965667725,4827.78173052472,0.336,10.551
Brazil,2010,73.779,11.3000001907349,11403.2821284616,0.406,8.422
Brazil,2015,75.106,13.5600004196167,8936.19661756825,0.427,8.538
Brazil,2020,74.506,15.2950003147125,7074.19378281866,0.435,13.697
British Virgin Islands,2000,74.753,,,,
British Virgin Islands,2005,75.569,,,,
British Virgin Islands,2010,76.289,,,,
British Virgin Islands,2015,76.558,,,,
British Virgin Islands,2020,76.894,,,,
Brunei Darussalam,2000,74.017,,20130.2571493081,,5.459
Brunei Darussalam,2005,74.683,,29386.2703597208,,5.931
Brunei Darussalam,2010,74.82,,34937.5555174068,,6.455
Brunei Darussalam,2015,74.88,17.207504272460902,30625.128732694,0.501,7.726
Brunei Darussalam,2020,75.114,20.07493019104,26834.3592463839,0.524,7.409
Bulgaria,2000,71.6634146341463,,1621.26210738992,,16.218
Bulgaria,2005,72.5609756097561,,3899.82596332878,,10.083
Bulgaria,2010,73.5121951219512,,6863.66706774052,,10.279
Bulgaria,2015,74.6146341463415,,7078.86032298969,,9.143
Bulgaria,2020,73.3560975609756,25.13441371917725,10198.5388313404,0.524,5.125
Burkina Faso,2000,50.808,,248.908526921752,,2.679
Burkina Faso,2005,53.271,,441.164148016012,,4.0
Burkina Faso,2010,56.343,1.0050000175833695,624.957252224766,0.116,3.723
Burkina Faso,2015,58.778,0.5025000087916848,630.124750752312,0.094,4.461
Burkina Faso,2020,60.454,2.237500015646218,825.237038782475,0.164,5.04
Burundi,2000,47.617,,134.537861752389,,3.129
Burundi,2005,53.053,,147.234619294225,,3.153
Burundi,2010,57.088,3.03999996185303,216.727705301976,0.127,1.616
Burundi,2015,60.107,2.194999992847445,280.966831311923,0.128,1.442
Burundi,2020,62.569,1.9174999892711675,210.008139902508,0.112,1.03
Cabo Verde,2000,68.117,,1189.51479345891,,13.088
Cabo Verde,2005,70.936,,2004.14680417563,,13.45
Cabo Verde,2010,72.507,,3579.46006137809,,10.67
Cabo Verde,2015,74.096,9.77000045776367,3415.06266730931,0.351,11.907
Cabo Verde,2020,73.818,9.77000045776367,3539.22662027109,0.352,14.69
Cambodia,2000,59.491,,296.426687526334,,0.744
Cambodia,2005,64.113,,525.797325120926,,1.064
Cambodia,2010,67.311,2.61093783378601,952.274616324008,0.186,0.771
Cambodia,2015,69.398,5.48999977111816,1547.32010444393,0.258,0.393
Cambodia,2020,70.059,6.2653431892395,2081.73914242939,0.281,0.172
Cameroon,2000,53.338,,708.565731625965,,7.536
Cameroon,2005,54.904,,1142.62466252106,,4.4
Cameroon,2010,56.965,1.44000005722046,1398.58702025047,0.148,4.11
Cameroon,2015,59.687,4.291807651519775,1415.00009710569,0.219,3.518
Cameroon,2020,61.674,4.291807651519775,1555.60370660749,0.225,3.87
Canada,2000,79.1668292682927,,24271.0020563821,,6.829
Canada,2005,80.1126829268293,40.2799987792969,36383.6600068095,0.692,6.758
Canada,2010,81.3221951219512,57.3237533569336,47560.6666009406,0.796,8.178
Canada,2015,81.8258536585366,60.8823738098145,43594.1941045394,0.81,6.945
Canada,2020,81.5351219512195,65.3256530761719,43537.839298904,0.828,9.657
Caribbean small states,2000,68.2818780578466,,6626.89515219893,,11.5264333346702
Caribbean small states,2005,69.3722344570221,,8063.66051325437,,11.2916798090981
Caribbean small states,2010,70.6434045515844,,10638.1693872311,,11.6580226907063
Caribbean small states,2015,71.4006810186053,,11835.2872155303,,11.5050757703248
Caribbean small states,2020,71.6276208799328,,10270.790474345,,12.9309999858592
Cayman Islands,2000,74.378,,,,
Cayman Islands,2005,74.863,24.4899997711182,,,
Cayman Islands,2010,76.069,30.69999980926515,76837.6699636672,0.643,
Cayman Islands,2015,78.119,38.1699981689453,76379.2095108681,0.699,
Cayman Islands,2020,79.23,38.1699981689453,82338.7982853661,0.707,
Central African Republic,2000,46.609,,239.154133726071,,5.362
Central African Republic,2005,48.207,,311.950023138687,,5.314
Central African Republic,2010,46.871,,476.873786950728,,5.291
Central African Republic,2015,51.934,,366.322853938121,,5.477
Central African Republic,2020,50.596,,462.879071294011,,6.196
Central Europe and the Baltics,2000,72.719724722779,,3959.09429252347,,12.1661215560372
Central Europe and the Baltics,2005,73.8449951359211,,8353.57200087818,,12.0310571699923
Central Europe and the Baltics,2010,75.2939657786314,,12639.1540363705,,9.92654756624789
Central Europe and the Baltics,2015,76.5715240168426,,12568.2965059245,,7.81595111887481
Central Europe and the Baltics,2020,76.0074026201527,,16450.8775088615,,4.35897846633943
Chad,2000,47.937,,163.121663683369,,0.79
Chad,2005,48.86,3.22000002861023,643.807929251964,0.159,0.678
Chad,2010,50.107,2.455000042915345,866.439680905028,0.155,0.878
Chad,2015,51.32,2.455000042915345,747.588448455507,0.153,0.974
Chad,2020,53.082,2.9112203717231777,622.095543396442,0.16,1.707
Channel Islands,2000,78.8,,43479.1940767689,,5.551
Channel Islands,2005,80.1,,57647.1188908006,,6.028
Channel Islands,2010,81.2,,56121.6386619052,,7.225
Channel Islands,2015,81.4,,61852.0736534587,,8.178
Channel Islands,2020,80.9,,56785.9402392525,,6.863
Chile,2000,77.128,,5052.99245768719,,10.491
Chile,2005,78.459,13.1599998474121,7480.3233099645,0.426,9.34
Chile,2010,79.095,18.0799999237061,12632.8704725219,0.493,8.278
Chile,2015,80.008,19.8099994659424,13433.9202985339,0.513,6.313
Chile,2020,79.349,19.1351909637451,13114.815470545,0.505,10.934
China,2000,72.288,,959.360431369138,,3.26
China,2005,74.085,,1753.41419160544,,4.52
China,2010,75.668,8.8100004196167,4550.47394356715,0.352,4.53
China,2015,76.975,8.8100004196167,8016.44559489998,0.371,4.65
China,2020,78.019,16.1200008392334,10408.7195541075,0.466,5.0
Colombia,2000,70.905,,2555.00751039968,,20.52
Colombia,2005,73.156,15.8800001144409,3456.06610874512,0.411,11.062
Colombia,2010,74.876,15.6800003051758,6398.2958447102,0.436,11.153
Colombia,2015,76.067,19.5200004577637,6248.51490534512,0.472,8.572
Colombia,2020,74.757,22.5400009155273,5339.68711357943,0.485,15.983
Comoros,2000,58.941,,655.007796688241,,4.398
Comoros,2005,60.883,,1103.20658498402,,4.522
Comoros,2010,62.747,,1386.5742428453,,4.248
Comoros,2015,64.473,5.74592638015747,1329.37048235986,0.249,4.121
Comoros,2020,65.756,5.74592638015747,1527.16991011916,0.255,4.471
"Congo, Dem. Rep.",2000,51.887,,377.925421481395,,3.234
"Congo, Dem. Rep.",2005,54.001,,203.561668860749,,2.948
"Congo, Dem. Rep.",2010,56.411,,314.53858629844,,4.096
"Congo, Dem. Rep.",2015,58.658,6.700358629226685,467.9145805459,0.21,4.439
"Congo, Dem. Rep.",2020,60.428,7.14558172225952,507.521230077872,0.222,5.345
"Congo, Rep.",2000,55.371,,1024.30159109181,,19.87
"Congo, Rep.",2005,58.73,,1799.05158366154,,19.796
"Congo, Rep.",2010,61.731,,2946.55798067708,,19.345
"Congo, Rep.",2015,63.662,,2439.35189403696,,19.978
"Congo, Rep.",2020,64.391,,1993.586671931,,22.198
Costa Rica,2000,77.317,,3812.75388284924,,5.08
Costa Rica,2005,78.877,,4703.00721784778,,6.749
Costa Rica,2010,79.354,20.0100002288818,8265.78820275582,0.496,7.171
Costa Rica,2015,80.407,21.9099998474121,11714.7105980732,0.527,8.415
Costa Rica,2020,79.725,22.2900009155273,12394.0493969492,0.53,16.432
Cote d'Ivoire,2000,51.393,,936.636541348798,,4.816
Cote d'Ivoire,2005,52.432,,1197.74616979415,,5.999
Cote d'Ivoire,2010,55.282,,1553.54887048143,,6.618
Cote d'Ivoire,2015,58.281,4.423621773719785,1814.71855088017,0.225,2.579
Cote d'Ivoire,2020,60.14,4.824873507022858,2179.72934832935,0.24,2.584
Croatia,2000,72.8078048780488,,4953.65158789022,,16.064
Croatia,2005,75.2446341463415,13.960000038147,10443.5278353294,0.437,12.598
Croatia,2010,76.4756097560976,16.7031078338623,13731.2865213989,0.476,11.62
Croatia,2015,77.2756097560976,20.5588092803955,12285.3032582105,0.509,16.175
Croatia,2020,77.5243902439024,22.9585609436035,14808.4620188819,0.535,7.507
Cuba,2000,75.922,,2751.3817714814,,5.45
Cuba,2005,77.54,9.35999965667725,3786.33799225291,0.357,1.95
Cuba,2010,77.876,9.35999965667725,5272.26755824835,0.368,2.5
Cuba,2015,77.745,12.219999790191675,7727.91997207998,0.415,2.4
Cuba,2020,77.407,12.219999790191675,9605.26125067263,0.421,2.24
Curacao,2000,73.283,,15841.2612359949,,
Curacao,2005,73.873,,17032.3356620744,,
Curacao,2010,75.117,,19847.2310127979,,
Curacao,2015,76.482,,19361.8130008678,,
Curacao,2020,76.501,47.973991394043,16356.0933594414,0.685,
Cyprus,2000,77.9,,14388.3525390625,,4.766
Cyprus,2005,79.198,24.8899993896484,24959.26171875,0.574,5.481
Cyprus,2010,80.632,30.8899993896484,31105.02734375,0.63,6.359
Cyprus,2015,81.464,34.8300018310547,23487.228515625,0.648,15.026
Cyprus,2020,81.23,38.6300010681152,28649.015625,0.678,7.755
Czechia,2000,74.9682926829268,,6062.92152842793,,8.764
Czechia,2005,75.9243902439025,,13442.4916284309,,7.927
Czechia,2010,77.4243902439025,15.3299999237061,20160.4355077059,0.477,7.281
Czechia,2015,78.5780487804878,19.5300006866455,17931.5987670768,0.517,5.048
Czechia,2020,78.2268292682927,21.4751415252686,23472.8915454417,0.541,2.55
Denmark,2000,76.5926829268293,19.7299995422363,30722.0251837567,0.53,4.476
Denmark,2005,77.8439024390244,28.243333180745434,48925.8076698784,0.617,4.83
Denmark,2010,79.1,30.6900005340576,58104.5445594981,0.645,7.746
Denmark,2015,80.7024390243902,34.5099983215332,53094.0133607574,0.673,6.278
Denmark,2020,81.6024390243903,37.7400016784668,60985.4885601514,0.702,5.637
Djibouti,2000,56.734,,737.612183644052,,26.664
Djibouti,2005,58.548,,844.4483573908,,26.452
Djibouti,2010,60.743,,1213.23352553429,,26.371
Djibouti,2015,62.833,,2376.12554719873,,26.07
Djibouti,2020,64.2,7.0643367767334,2881.99924450145,0.29,27.713
Dominica,2000,71.715,,4867.39896323759,,
Dominica,2005,72.016,,5299.49596350504,,
Dominica,2010,71.68,,7171.5523885901,,
Dominica,2015,69.968,,7679.83293618857,,
Dominica,2020,71.269,,7461.77933220095,,
Dominican Republic,2000,70.365,,2831.45883638033,,6.432
Dominican Republic,2005,71.043,,3878.31206735244,,6.587
Dominican Republic,2010,72.039,10.789999961853,5484.64637931191,0.374,5.212
Dominican Republic,2015,72.982,12.3800001144409,6819.93225155181,0.401,7.605
Dominican Republic,2020,72.636,12.8589019775391,7162.29175242114,0.407,6.126
Early-demographic dividend,2000,64.2196098284934,,1345.96096692962,,7.11472249654015
Early-demographic dividend,2005,65.9797864104925,,1787.409549471,,7.13189877369064
Early-demographic dividend,2010,67.8244434669729,,2936.70530854625,,6.72549254045243
Early-demographic dividend,2015,69.6305484421664,,3211.78012733143,,6.8212583318297
Early-demographic dividend,2020,69.8801308490982,,3240.95150218079,,7.41080978209993
East Asia & Pacific,2000,71.7028323240299,,4086.5181236253,,3.55420828634153
East Asia & Pacific,2005,73.2984345512681,,4878.31107550326,,4.46538303958669
East Asia & Pacific,2010,74.6299790050688,,7712.66504492202,,4.21713753627349
East Asia & Pacific,2015,75.7926010192992,,9562.10616350756,,4.08251292816983
East Asia & Pacific,2020,76.5434376080231,,11464.1012855988,,4.28970049892231
East Asia & Pacific (IDA & IBRD countries),2000,70.8650826611101,,965.915605536413,,3.42896287038122
East Asia & Pacific (IDA & IBRD countries),2005,72.440234089532,,1656.34064911147,,4.50231259783126
East Asia & Pacific (IDA & IBRD countries),2010,73.8065980873171,,4050.73080711289,,4.17562491797747
East Asia & Pacific (IDA & IBRD countries),2015,74.9777768374826,,6556.49872551757,,4.13498800489396
East Asia & Pacific (IDA & IBRD countries),2020,75.73384970547,,8338.13776036985,,4.38272643965065
East Asia & Pacific (excluding high income),2000,70.7357071585237,,954.465171205624,,3.42330379281354
East Asia & Pacific (excluding high income),2005,72.3983266445825,,1637.02409948695,,4.47985327360327
East Asia & Pacific (excluding high income),2010,73.7616390609634,,4004.41005469392,,4.15545539099385
East Asia & Pacific (excluding high income),2015,74.9511243848739,,6482.99315626888,,4.11636992397966
East Asia & Pacific (excluding high income),2020,75.6976393295064,,8245.71521577714,,4.36073968094378
Ecuador,2000,72.09,,1382.23421759909,,4.8
Ecuador,2005,73.909,,2909.02606014388,,3.779
Ecuador,2010,75.188,,4520.30959039763,,4.088
Ecuador,2015,76.222,,5976.1596805651,,3.616
Ecuador,2020,72.004,,5463.64509649315,,6.127
"Egypt, Arab Rep.",2000,67.332,,1366.09274372613,,8.98
"Egypt, Arab Rep.",2005,68.355,,1104.80340733395,,11.049
"Egypt, Arab Rep.",2010,69.078,14.3295373916626,2455.08194645282,0.374,8.757
"Egypt, Arab Rep.",2015,70.135,14.745777130127,3306.98159414141,0.392,13.052
"Egypt, Arab Rep.",2020,69.79,16.7489757537842,3511.11381026379,0.41,7.974
El Salvador,2000,67.711,,1982.87093542615,,6.96
El Salvador,2005,69.336,,2447.39140845394,,7.22
El Salvador,2010,70.909,6.78000020980835,3040.07300952878,0.301,4.893
El Salvador,2015,70.952,9.592500090599064,3790.34089108162,0.346,3.998
El Salvador,2020,70.244,9.89000034332275,3997.19279583709,0.349,5.008
Equatorial Guinea,2000,53.395,,1487.3165506701,,7.955
Equatorial Guinea,2005,55.766,,8673.9026086535,,8.008
Equatorial Guinea,2010,58.344,,13720.1658723222,,8.07
Equatorial Guinea,2015,60.635,,9068.91003238645,,7.95
Equatorial Guinea,2020,62.141,,5764.05502912947,,8.781
Eritrea,2000,56.285,,314.357396753501,,5.608
Eritrea,2005,60.628,,412.753079199423,,5.579
Eritrea,2010,63.665,,539.699512069686,,5.675
Eritrea,2015,65.909,,614.1905858232631,,5.541
Eritrea,2020,66.98,,614.1905858232631,,6.088
Estonia,2000,70.4170731707317,28.1499996185303,4070.60902410208,0.496,13.36
Estonia,2005,72.5682926829268,28.1499996185303,10414.6381183565,0.543,8.033
Estonia,2010,75.4292682926829,34.0299987792969,14663.7041018705,0.602,16.707
Estonia,2015,77.590243902439,37.5999984741211,17722.1557669523,0.639,6.412
Estonia,2020,78.5951219512195,39.5,23933.9939421065,0.665,6.956
Eswatini,2000,47.627,,1668.9749133064,,24.502
Eswatini,2005,43.958,,2945.36394872311,,27.204
Eswatini,2010,48.331,,3992.95199562618,,26.736
Eswatini,2015,54.941,,3393.53367834668,,23.285
Eswatini,2020,59.862,12.6465692520142,3442.3216527415,0.346,32.944
Ethiopia,2000,50.88,,122.269202606069,,3.5
Ethiopia,2005,54.364,,158.243458082465,,2.497
Ethiopia,2010,59.709,0.5,330.619412798644,0.082,2.3
Ethiopia,2015,63.592,0.9483741124471032,621.845673808133,0.121,2.443
Ethiopia,2020,65.969,0.9483741124471032,905.313175805855,0.131,3.994
Euro area,2000,78.1997793340467,,20039.4002663005,,9.47224221882325
Euro area,2005,79.3740186855952,,31800.4430333572,,9.150301070873
Euro area,2010,80.6968131850917,,37555.1722674637,,10.1759838228201
Euro area,2015,81.5211091943041,,34415.6153549122,,10.8852194826771
Euro area,2020,81.487506689434,,38241.5756519082,,7.83001752658849
Europe & Central Asia,2000,73.113794854398,,11645.0816833377,,9.68992008060942
Europe & Central Asia,2005,74.1522116626576,,19219.8862771614,,8.71935150265075
Europe & Central Asia,2010,75.9917245223555,,23699.4951447534,,9.11902260665955
Europe & Central Asia,2015,77.3336212065625,,22657.3094941092,,8.57212387627213
Europe & Central Asia,2020,77.1746102388977,,24091.3416895738,,7.10924397392522
Europe & Central Asia (IDA & IBRD countries),2000,68.3665797465926,,2043.07968265217,,11.0252036761132
Europe & Central Asia (IDA & IBRD countries),2005,69.1399718986537,,4655.78176687215,,9.29208362545358
Europe & Central Asia (IDA & IBRD countries),2010,71.4358973425353,,8267.9596291029,,8.68768383545242
Europe & Central Asia (IDA & IBRD countries),2015,73.3429901858512,,8001.11229243002,,7.64210348176057
Europe & Central Asia (IDA & IBRD countries),2020,73.1551939454689,,8443.06159084581,,7.23741604434341
Europe & Central Asia (excluding high income),2000,68.8570531913162,,1788.23206214028,,10.7484483274832
Europe & Central Asia (excluding high income),2005,69.9595147691821,,3566.86899633867,,9.57056994537054
Europe & Central Asia (excluding high income),2010,71.9125911481178,,5994.38483353001,,9.55793535586369
Europe & Central Asia (excluding high income),2015,73.7582412903086,,6282.67304098967,,9.01450551916038
Europe & Central Asia (excluding high income),2020,73.5589073374531,,5733.53881172869,,9.31621048521721
European Union,2000,77.0782450771112,,16975.9150408779,,9.70649119804801
European Union,2005,78.2740057252271,,27444.1812267616,,9.63224855265433
European Union,2010,79.6324834192405,,33164.0048499327,,9.87432248381671
European Union,2015,80.5702186395889,,30716.6295698647,,10.0201862137305
European Union,2020,80.4310201133423,,34635.4895902222,,7.04821860006322
Faroe Islands,2000,78.3829268292683,,23322.7593357515,,
Faroe Islands,2005,79.4414634146342,,36389.081644098,,
Faroe Islands,2010,80.6390243902439,,47923.1515374991,,
Faroe Islands,2015,81.7926829268293,,52635.0375463609,,
Faroe Islands,2020,82.6439024390244,,62236.0866558197,,
Fiji,2000,66.194,8.57999992370605,1995.72071163264,0.302,4.7
Fiji,2005,65.983,8.57999992370605,3377.69126953493,0.318,3.886
Fiji,2010,66.778,10.445000171661372,3449.14452883369,0.343,4.343
Fiji,2015,66.48,13.932584285736093,5097.53108832569,0.39,4.291
Fiji,2020,66.924,12.720259189605716,4844.42129036462,0.378,4.649
Finland,2000,77.4658536585366,,24335.9225082659,,11.134
Finland,2005,78.8170731707317,29.5400009155273,39049.8703780223,0.622,9.602
Finland,2010,79.8707317073171,32.1300010681152,46506.2919016566,0.65,8.394
Finland,2015,81.4804878048781,34.3499984741211,42560.3456767103,0.667,9.376
Finland,2020,81.9317073170732,41.926383972168,48828.6846862799,0.72,7.759
Fragile and conflict affected situations,2000,55.5342411286299,,751.402386963343,,5.88813224341885
Fragile and conflict affected situations,2005,57.1894341976629,,1074.74988871637,,5.17532128815233
